C.D.S.  -  SIMBAD4 rel 1.8  -  2024.03.27CET20:58:42

coord 14 29 42.9461331854-62 40 46.164680672 (ICRS, J2000, 2000.0), radius: 50 arcmin
-------------------------------------------------------------------------------------

Number of objects : 2680

 #  |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|----------|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
37  |    269.57|2MASS J14294455-6236168            |LP?|14 29 44.5603606251 -62 36 16.822105203|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
38  |    273.48|TYC 9010-3029-1                    |*  |14 29 41.3354102538 -62 45 19.420849500|     ~   |12.07    |11.29    |     ~   |     ~   |~              |   0|   0
39  |    276.90|2MASS J14301931-6238481            |LP?|14 30 19.3117170518 -62 38 48.170440974|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
40  |    284.89|2MASS J14295287-6245226            |LP?|14 29 52.8812948888 -62 45 22.745985654|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
41  |    291.20|2MASS J14301962-6243109            |LP?|14 30 19.6381828232 -62 43 11.333844034|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
42  |    296.02|TYC 9010-1638-1                    |*  |14 29 17.1539260320 -62 36 49.456698624|     ~   |12.76    |12.82    |     ~   |     ~   |~              |   0|   0
43  |    306.83|UCAC4 137-115872                   |SB*|14 29 20.7183889821 -62 45 12.215907321|     ~   |13.362   |12.486   |12.307   |     ~   |~              |   0|   0
44  |    309.60|2MASS J14295517-6235482            |LP?|14 29 55.1777809108 -62 35 48.268777102|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
45  |    311.49|2MASS J14294096-6245572            |*  |14 29 40.9731534275 -62 45 57.357615615|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
46  |    319.73|TYC 9010-3059-1                    |*  |14 29 50.2800650832 -62 46 01.896533940|     ~   |12.80    |12.05    |     ~   |     ~   |~              |   0|   0
47  |    330.48|2MASS J14301862-6244275            |*  |14 30 18.62232 -62 44 27.5640          |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
48  |    334.85|2MASS J14303043-6239341            |*  |14 30 30.43008 -62 39 34.1460          |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
49  |    346.19|TYC 9010-3697-1                    |SB*|14 30 32.5199853744 -62 41 44.735764992|     ~   |12.81    |11.81    |     ~   |     ~   |~              |   0|   0
50  |    347.00|2MASS J14300561-6235363            |LP?|14 30 05.6359971292 -62 35 36.426075410|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
51  |    354.22|IRAS 14253-6232                    |LP?|14 29 11.5209671952 -62 45 26.855309376|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
52  |    364.85|UCAC4 137-115862                   |SB*|14 29 19.3482625296 -62 46 12.977098843|     ~   |14.963   |13.237   |12.779   |     ~   |~              |   0|   0
53  |    368.99|TYC 9010-2779-1                    |*  |14 29 52.2120401760 -62 46 49.621644552|     ~   |13.46    |11.68    |     ~   |     ~   |~              |   2|   0
54  |    369.08|2MASS J14290672-6236144            |LP?|14 29 06.7340395481 -62 36 14.307256445|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
55  |    386.82|Gaia DR3 5853519535194040832       |RR*|14 30 35.0594505307 -62 38 22.168416633|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
56  |    398.11|TYC 9010-2328-1                    |*  |14 29 08.9954885280 -62 35 24.143400384|     ~   |11.58    |10.88    |     ~   |     ~   |~              |   0|   0
57  |    398.47|Gaia DR3 5853447895100585344       |LP?|14 30 34.5524831427 -62 43 47.184078774|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
58  |    399.96|AP J14303446-6243520               |LP?|14 30 34.4427510657 -62 43 51.907083232|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
59  |    401.85|2MASS J14290353-6235499            |LP?|14 29 03.5566841422 -62 35 49.953060132|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
60  |    402.49|AP J14284616-6239108               |LP?|14 28 46.1645382041 -62 39 11.022360764|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
61  |    409.01|IRAS 14267-6230                    |LP*|14 30 37.9157628144 -62 43 21.989690220|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
62  |    409.96|TYC 9010-1458-1                    |*  |14 30 42.1386480408 -62 40 02.195264532|     ~   |11.95    |12.01    |     ~   |     ~   |~              |   0|   0
63  |    415.52|HD 126625                          |*  |14 29 08.7454343928 -62 46 28.798631976|     ~   |10.53    |10.18    |     ~   |     ~   |F0III/IV       |   3|   0
64  |    424.58|TYC 9010-1466-1                    |*  |14 30 37.3126964928 -62 37 26.369252724|     ~   |13.18    |12.73    |     ~   |     ~   |~              |   0|   0
65  |    431.42|2MASS J14284127-6239300            |LP?|14 28 41.2859367702 -62 39 30.044107853|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
66  |    434.59|2MASS J14284017-6240012            |LP?|14 28 40.1733713264 -62 40 01.117489265|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
67  |    436.59|2MASS J14301773-6234415            |LP?|14 30 17.7613985321 -62 34 41.518116294|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
68  |    439.25|TYC 9010-2803-1                    |*  |14 30 10.7899821720 -62 47 21.547312512|     ~   |11.52    |11.11    |     ~   |     ~   |~              |   0|   0
69  |    440.83|2MASS J14290144-6246222            |LP?|14 29 01.4443794552 -62 46 22.253486312|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
70  |    443.44|2MASS J14285929-6246127            |LP?|14 28 59.3082595208 -62 46 12.750510473|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
71  |    448.69|2MASS J14284802-6236452            |LP?|14 28 48.0270089424 -62 36 45.232868372|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
72  |    455.47|2MASS J14303867-6236410            |LP?|14 30 38.6505360067 -62 36 41.130577409|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
73  |    456.69|2MASS J14303374-6245406            |LP?|14 30 33.7336635860 -62 45 40.535328591|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
74  |    463.59|2MASS J14303390-6235432            |LP?|14 30 33.8923424224 -62 35 43.593336891|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
75  |    468.05|2MASS J14285966-6234457            |LP?|14 28 59.6528080421 -62 34 45.695225470|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
76  |    471.40|HD 126550                          |*  |14 28 36.1161077400 -62 39 04.498640892|     ~   |10.39    |10.19    |     ~   |     ~   |B8II/III       |   5|   0
77  |    473.86|2MASS J14303510-6235374            |LP?|14 30 35.0914299879 -62 35 37.462966912|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
78  |    476.72|2MASS J14284489-6236270            |LP?|14 28 44.9020687899 -62 36 26.958803200|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
79  |    482.72|2MASS J14295705-6232533            |LP?|14 29 57.0526817796 -62 32 53.358226508|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
80  |    483.51|2MASS J14290954-6247516            |*  |14 29 09.5547871270 -62 47 51.782294640|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
81  |    484.58|2MASS J14291706-6233157            |LP?|14 29 17.0696256219 -62 33 15.667636394|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
82  |    492.39|TYC 9010-2715-1                    |*  |14 29 12.2130808368 -62 48 10.988794440|     ~   |12.79    |12.11    |     ~   |     ~   |~              |   0|   0
83  |    494.70|TYC 9010-3201-1                    |*  |14 30 30.4804408272 -62 46 57.656655552|     ~   |10.85    |10.78    |     ~   |     ~   |~              |   0|   0
84  |    496.13|2MASS J14301965-6247534            |LP*|14 30 19.6616668391 -62 47 53.377527031|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
85  |    498.86|2MASS J14304605-6244524            |*  |14 30 46.0345313370 -62 44 52.445019810|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
86  |    498.90|TYC 9010-2521-1                    |*  |14 29 06.3054576720 -62 47 56.894024292|     ~   |12.91    |12.20    |     ~   |     ~   |~              |   0|   0
87  |    501.48|TYC 9010-927-1                     |*  |14 30 55.5594368016 -62 41 27.095357364|     ~   |11.82    |11.18    |     ~   |     ~   |~              |   0|   0
88  |    502.70|2MASS J14283406-6238004            |LP?|14 28 34.0665312718 -62 38 00.372292066|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
89  |    509.47|2MASS J14294469-6249154            |LP?|14 29 44.6866125776 -62 49 15.489995875|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
90  |    524.20|2MASS J14304447-6235382            |LP?|14 30 44.4797201589 -62 35 38.262868748|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
91  |    528.77|IRAS 14271-6228                    |LP?|14 30 58.8020053392 -62 42 10.360427544|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
92  |    530.30|2MASS J14301243-6248559            |LP?|14 30 12.4087147256 -62 48 56.331232695|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
93  |    531.07|2MASS J14301647-6248447            |LP?|14 30 16.4847027006 -62 48 44.667368733|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
94  |    531.46|2MASS J14292544-6232084            |LP?|14 29 25.4544255517 -62 32 08.591567775|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
95  |    532.86|PN G313.8-01.7                     |PN |14 28 50.8 -62 34 13                   |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   4|   1
96  |    533.95|2MASS J14301106-6232287            |LP?|14 30 11.0703268528 -62 32 28.730909760|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
97  |    538.05|2MASS J14284147-6235149            |LP?|14 28 41.4565870068 -62 35 14.906044070|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
98  |    539.85|HD 126925                          |*  |14 30 58.6637618208 -62 38 27.036019500|     ~   |10.24    |10.12    |     ~   |     ~   |A1V            |   4|   0
99  |    547.83|OGLE GD-DSCT-4605                  |dS*|14 28 30.35 -62 37 03.0                |     ~   |     ~   |18.320   |     ~   |16.011   |~              |   1|   0
100 |    557.05|OGLE GD-RRLYR-3657                 |RR*|14 31 03.0179968859 -62 42 07.746374927|     ~   |     ~   |     ~   |     ~   |17.024   |~              |   2|   0
101 |    559.28|TYC 9010-2675-1                    |*  |14 29 48.9583603944 -62 50 03.916479156|     ~   |12.86    |12.45    |     ~   |     ~   |~              |   0|   0
102 |    566.67|2MASS J14283750-6246308            |LP?|14 28 37.5170748608 -62 46 30.936196649|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
103 |    568.15|2MASS J14305758-6244495            |LP?|14 30 57.5959670220 -62 44 49.632348732|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
104 |    578.50|2MASS J14305301-6235279            |LP?|14 30 53.0125857909 -62 35 27.918711748|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
105 |    578.85|OGLE GD-DSCT-4629                  |dS*|14 30 58.54 -62 36 34.0                |     ~   |     ~   |14.542   |     ~   |13.548   |~              |   1|   0
106 |    579.05|2MASS J14303985-6247533            |LP?|14 30 39.8461616803 -62 47 53.318377201|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
107 |    580.21|2MASS J14281905-6239523            |LP?|14 28 19.0539345481 -62 39 52.267434863|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
108 |    580.86|2MASS J14281895-6241420            |LP?|14 28 18.9432106340 -62 41 42.041810894|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
109 |    581.88|2MASS J14284737-6233284            |Mi*|14 28 47.3781833265 -62 33 28.408006989|     ~   |     ~   |     ~   |     ~   |16.079   |~              |   2|   0
110 |    583.80|[MML2017] 6375                     |MoC|14 30 23.692 -62 49 18.52              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
111 |    585.16|2MASS J14282056-6238230            |LP?|14 28 20.5916827080 -62 38 22.885265786|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
112 |    587.63|2MASS J14283749-6247041            |LP?|14 28 37.4791468320 -62 47 04.180679219|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
113 |    587.72|2MASS J14290765-6249415            |LP?|14 29 07.6580156661 -62 49 41.597074798|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
114 |    593.27|TYC 9010-1390-1                    |PM*|14 31 08.8512915600 -62 41 34.687383720|     ~   |10.98    |10.44    |     ~   |     ~   |~              |   0|   0
115 |    597.95|2MASS J14303473-6232467            |LP?|14 30 34.7300929835 -62 32 46.716468331|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
116 |    597.95|2MASS J14302160-6231510            |LP?|14 30 21.6044473970 -62 31 51.043192316|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
117 |    599.81|2MASS J14292275-6250298            |LP*|14 29 22.7675643655 -62 50 29.754762010|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
118 |    600.12|2MASS J14310312-6244431            |LP?|14 31 03.1213600241 -62 44 43.138362240|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
119 |    603.53|TYC 9010-3677-1                    |*  |14 28 15.4606917312 -62 41 26.434932540|     ~   |12.93    |12.58    |     ~   |     ~   |~              |   0|   0
120 |    605.33|2MASS J14310724-6237555            |LP*|14 31 07.2475943159 -62 37 55.727862209|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
121 |    607.24|IRAS 14246-6233                    |LP*|14 28 37.8352321896 -62 47 36.746601360|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
122 |    609.11|AP J14311096-6239457               |LP?|14 31 10.9607058879 -62 39 45.741453359|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
123 |    611.37|TYC 9010-2548-1                    |Pu*|14 28 51.9206285856 -62 32 26.372518044|     ~   |11.87    |11.89    |     ~   |     ~   |~              |   0|   0
124 |    611.85|2MASS J14301150-6250257            |LP?|14 30 11.5098001491 -62 50 25.735784539|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
125 |    611.85|2MASS J14311137-6241480            |LP?|14 31 11.3915704790 -62 41 47.952544667|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
126 |    615.51|UCAC4 137-115505                   |SB*|14 28 24.8308858810 -62 45 46.932898782|     ~   |14.249   |13.012   |12.731   |     ~   |~              |   0|   0
127 |    618.67|2MASS J14310541-6244531            |LP?|14 31 05.4180918711 -62 44 53.410157224|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
128 |    624.61|2MASS J14293195-6251062            |LP*|14 29 31.9659877802 -62 51 06.208922735|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
129 |    627.99|TYC 9010-2393-1                    |*  |14 28 46.2890390712 -62 48 59.048510220|     ~   |12.91    |11.15    |     ~   |     ~   |~              |   0|   0
130 |    630.62|2MASS J14281273-6238583            |*  |14 28 12.7377056051 -62 38 58.439160330|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
131 |    632.28|2MASS J14304091-6232365            |LP?|14 30 40.9258514445 -62 32 36.558862795|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
132 |    634.30|2MASS J14311410-6242202            |LP?|14 31 14.1018688900 -62 42 20.213726945|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
133 |    637.63|2MASS J14281095-6242024            |Mi*|14 28 10.9598888404 -62 42 02.468011271|     ~   |     ~   |     ~   |     ~   |17.809   |~              |   2|   0
134 |    637.71|Gaia DR3 5853512731942204416       |RR*|14 29 16.6645184433 -62 30 34.820056154|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
135 |    640.08|2MASS J14294186-6230060            |LP?|14 29 41.8672755940 -62 30 06.130067813|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
136 |    641.37|Gaia DR3 5853511495005479040       |*  |14 28 34.6500844241 -62 33 30.994082231|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
137 |    641.74|2MASS J14304180-6232293            |LP?|14 30 41.8024998831 -62 32 29.291003041|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
138 |    642.01|2MASS J14283933-6232576            |LP?|14 28 39.3392290777 -62 32 57.578763822|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
139 |    642.49|UCAC4 138-125080                   |** |14 28 34.65120 -62 33 29.3292          |     ~   |14.601   |12.952   |12.557   |     ~   |~              |   0|   0
140 |    642.51|Gaia DR3 5853511490642433024       |SB*|14 28 34.6560984847 -62 33 29.271303780|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
141 |    643.91|2MASS J14310248-6246263            |LP?|14 31 02.4907509937 -62 46 26.290170001|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
142 |    644.44|2MASS J14311175-6237244            |LP?|14 31 11.7651990310 -62 37 24.451552488|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
143 |    647.85|2MASS J14295236-6251308            |LP?|14 29 52.3680551579 -62 51 30.780019279|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
144 |    663.39|IRAS 14271-6234                    |FIR|14 31 00.1 -62 47 25                   |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
145 |    666.71|2MASS J14291296-6230124            |LP?|14 29 12.9715487515 -62 30 12.394621589|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
146 |    672.11|TYC 9010-2491-1                    |*  |14 29 22.5217752240 -62 51 43.499363184|     ~   |12.97    |12.31    |     ~   |     ~   |~              |   0|   0
147 |    673.12|2MASS J14305673-6233254            |LP?|14 30 56.7018362934 -62 33 25.496232723|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
148 |    673.63|TYC 9010-3696-1                    |*  |14 31 10.8993453432 -62 35 52.691317080|     ~   |11.10    |10.06    |     ~   |     ~   |~              |   1|   0
149 |    677.25|2MASS J14292601-6251534            |LP*|14 29 26.0269047597 -62 51 53.385248145|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
150 |    678.22|2MASS J14284539-6231364            |LP*|14 28 45.3946434204 -62 31 36.446824013|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
151 |    680.76|TYC 9010-1900-1                    |*  |14 29 28.6204046417 -62 29 32.630829713|     ~   |12.74    |12.38    |     ~   |     ~   |~              |   0|   0
152 |    684.29|2MASS J14293899-6229224            |LP?|14 29 39.0045695103 -62 29 22.416687490|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
153 |    689.16|HD 126793                          |PM*|14 30 12.6567826128 -62 51 44.466322752|     ~   |8.76     |8.24     |     ~   |     ~   |G0wF3/5        |  76|   0
154 |    690.73|2MASS J14280278-6241288            |LP?|14 28 02.7876045644 -62 41 28.997495189|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
155 |    693.86|TYC 9010-3079-1                    |*  |14 30 46.8127815840 -62 49 43.840586028|     ~   |11.88    |11.54    |     ~   |     ~   |~              |   0|   0
156 |    696.39|Gaia DR3 5853487305723363456       |LP?|14 28 53.3759083401 -62 50 53.748923193|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
157 |    698.69|2MASS J14293704-6252236            |LP?|14 29 37.0647369411 -62 52 23.685141420|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
158 |    701.32|TYC 9010-2945-1                    |*  |14 31 15.0846262968 -62 45 47.183428152|     ~   |11.47    |11.14    |     ~   |     ~   |~              |   0|   0
159 |    701.93|2MASS J14300499-6229211            |*  |14 30 05.0063573110 -62 29 20.974414412|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
